work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15537255,Romp,/users/gundamoocow/pseuds/gundamoocow,Explicit,M/M,Star Wars Sequel Trilogy,Armitage Hux/Kylo Ren,"Armitage Hux, Kylo Ren","Anal Sex, Anal Fingering, Switching, Plot What Plot/Porn Without Plot",English,2018-08-02,Completed,2018-08-02,1760,1/1,36,145,10,967,They fight. Then fuck.
15537246,I Hold the Wolf by the Ear,/users/eastern_wind/pseuds/eastern_wind,General Audiences,Gen,Dragon Age - All Media Types,,"Fen'Harel | Solas, Tau Sulahn'nan, Original Elf Character(s)","POV Tau, the darkest hour prompts month",English,2018-08-02,Completed,2018-08-02,742,1/1,null,null,null,5,"Prompt - auribus teneo lupum (latin) - i hold the wolf by the ear, meaning to be in a situation in which remaining is as dangerous as leaving >:) - @fat-rolls-frictions"
15537243,Liang Zhe 41,/users/aoikui397/pseuds/aoikui397,Mature,M/M,Cheng Kun ,,,,English,2018-08-02,Completed,2018-08-02,511,1/1,null,4,null,317,
15537249,That was Fun,/users/Nobody_Cares/pseuds/Nobody_Cares,Explicit,F/F,Harry Potter - J. K. Rowling,Hermione Granger/Ginny Weasley,"Hermione Granger, Ginny Weasley, Ron Weasley, Harry Potter","Vaginal Fingering, Licking, Nipple Licking, Smut",English,2018-08-02,Completed,2018-08-02,1081,1/1,null,12,1,1162,"Ginny breaks up with her boyfriend, Hermione comes to comfort her. Smut happens"
15537237,No One Left Behind,/users/Undersilkysheets/pseuds/Undersilkysheets,Explicit,F/M,"Mass Effect - All Media Types, Mass Effect Trilogy",Original Male Human Character(s)/Original Female Turian Character(s),"Original Female Turian Character(s), Original Male Human Character(s)","One Shot, NSFW, Oral Sex, Anal Sex, Anal Fingering, Pegging, but also puns, so many puns, Married Couple, Interspecies Relationship(s), Turians, Fluff and Smut, graphic smut, Plot What Plot/Porn Without Plot, Porn with Feelings, Rimming",English,2018-08-02,Completed,2018-08-02,6452,1/1,2,4,null,403,"A quiet afternoon on a turian colony, when a turian officer and her human bondmate fall into a moment of sensual self indulgence... and fun."
15537225,Modelling,/users/ImagineBeatles/pseuds/ImagineBeatles,Mature,M/M,The Beatles (Band),John Lennon/Paul McCartney,,,English,2018-08-02,Completed,2018-08-02,3082,1/1,null,5,null,89,Paul promised to help John with some school work. What John hadn’t told him was that he’d be modelling.
15537195,No Way Out,/users/ImagineBeatles/pseuds/ImagineBeatles,Explicit,M/M,The Beatles (Band),John Lennon/Paul McCartney,,"Abuse, Rape/Non-con Elements, Please do not read if you don't like this, abusive!John, Dubious Consent, Emotional/Psychological Abuse",English,2018-08-02,Completed,2018-08-02,7403,1/1,null,8,null,134,The moment the words had left his mouth Paul knew he had made a terrible mistake (Abusive!John).
15537192,Hold me,/users/orphan_account/pseuds/MercyAtHome,Not Rated,M/M,bangtansonyeondan | Bangtan Boys | BTS,Kim Taehyung | V/Min Yoongi | Suga,Kim Taehyung | V,Min Yoongi | Suga Is Whipped,English,2018-08-02,Completed,2018-08-02,3192,1/1,1,11,null,234,
15537165,Warmer than a Summery Sunset,/users/shiiiny/pseuds/shiiiny,General Audiences,M/M,Ensemble Stars! (Video Game),Aoba Tsumugi/Sakasaki Natsume,"kinda the entire cast but i wont specify except the important ones?, Harukawa Sora, Itsuki Shuu, Mademoiselle (Ensemble Stars!)","Fluff, Ensemble Stars Summer Secret Santa 2018",English,2018-08-02,Completed,2018-08-02,3343,1/1,7,10,null,79,"In truth, no one knew why Eichi Tenshouin, the ruthless tyrant who governed the school with an iron fist, invited all of them to his private beach resort out of the blue. His voice chirped through the sound system as he informed the students to pack their belongings and prepare for it when they went home tonight, for they will leave early in the morning. Chatter immediately filled the hallways and classrooms, and anticipation surrounded them during the remaining lectures that separated them from the first day of summer break."
15537162,My Name is Ushijima...Ushijima Wakatoshi,/users/Stacysmash/pseuds/Stacysmash,Mature,M/M,Haikyuu!!,Semi Eita/Ushijima Wakatoshi,"Semi Eita, Ushijima Wakatoshi","Tendou is mentioned so much he's pretty much a behind the scenes character, spy AU, Action, Violence, Humor, Fluff, Pining, Mutual Pining, Secret Crush, Original Character(s), rating for violence mainly",English,2018-08-02,Completed,2018-08-02,4478,1/1,7,11,3,54,"“Alright, we just had a rotation of guards, so the next one should be in about fifteen minutes,” He said in his headset and heard a slight clearing of a throat in the speaker in his ear. Semi smiled and glanced back at the main screen that showed him a perfect view of the opulent party. “Nice, you should take a moment and enjoy yourself while you’re there.”His view shifted to a gilded mirror on the wall, giving him a full view of Ushijima as he raised his eyebrow at his own reflection. Semi snickered, knowing that was about all the response he’d get since Ushijima was a professional. He took the opportunity to soak in the sight of him and nearly sighed into the headset; no one could fill out a tux like Ushijima.  *Ask Challenge! Pick a genre and a rare ship: Spy AU + Ushijima x Semi"
